Column 1,Column 2,Column 3,Column 4,Column 5,Column 6,Column 7,Column 8,Column 9,Column 10,Column 11,Column 12,Column 13,Column 14,Column 15,Column 16,Column 17,Column 18,Column 19,Column 20
,,,,,,,,,,,,,,,,,,,
01-Jul-20,,,,,,,,,,,,,,,,,,,
6040,6|13|14|16|17,1,X,X,,,,,,,,,,,,,,,
02-Jul-20,,,,,,,,,,,,,,,,,,,
6041,6|12|13|15|19,4,X,X,,,,,,,,,,,,,,,
03-Jul-20,,,,,,,,,,,,,,,,,,,
6042,3|7|15|18|20,1,X,X,,,,,,,,,,,,,,,
04-Jul-20,,,,,,,,,,,,,,,,,,,
6043,8|12|15|16|17,3,X,X,,,,,,,,,,,,,,,
06-Jul-20,,,,,,,,,,,,,,,,,,,
6044,4|11|14|15|19,4,X,X,,,,,,,,,,,,,,,
07-Jul-20,,,,,,,,,,,,,,,,,,,
6045,1|4|5|10|11,1,X,X,,,,,,,,,,,,,,,
08-Jul-20,,,,,,,,,,,,,,,,,,,
6046,1|11|12|16|19,1,X,X,,,,,,,,,,,,,,,
09-Jul-20,,,,,,,,,,,,,,,,,,,
6047,2|4|5|7|9,4,X,X,,,,,,,,,,,,,,,
10-Jul-20,,,,,,,,,,,,,,,,,,,
6048,4|7|11|12|14,1,X,X,,,,,,,,,,,,,,,
11-Jul-20,,,,,,,,,,,,,,,,,,,
6049,12|13|14|15|17,3,X,X,,,,,,,,,,,,,,,
13-Jul-20,,,,,,,,,,,,,,,,,,,
6050,2|7|9|18|19,2,X,X,,,,,,,,,,,,,,,
14-Jul-20,,,,,,,,,,,,,,,,,,,
6051,3|11|14|19|20,4,X,X,,,,,,,,,,,,,,,
(adsbygoogle = window.adsbygoogle || []).push({});,,,,,,,,,,,,,,,,,,,
15-Jul-20,,,,,,,,,,,,,,,,,,,
6052,1|5|6|13|16,1,X,X,,,,,,,,,,,,,,,
16-Jul-20,,,,,,,,,,,,,,,,,,,
6053,4|7|10|11|12,2,X,X,,,,,,,,,,,,,,,
17-Jul-20,,,,,,,,,,,,,,,,,,,
6054,3|4|5|7|16,1,X,X,,,,,,,,,,,,,,,
18-Jul-20,,,,,,,,,,,,,,,,,,,
6055,2|9|12|14|17,3,X,X,,,,,,,,,,,,,,,
20-Jul-20,,,,,,,,,,,,,,,,,,,
6056,3|8|10|11|14,3,X,X,,,,,,,,,,,,,,,
21-Jul-20,,,,,,,,,,,,,,,,,,,
6057,3|4|7|8|20,1,X,X,,,,,,,,,,,,,,,
22-Jul-20,,,,,,,,,,,,,,,,,,,
6058,7|8|10|16|20,1,X,X,,,,,,,,,,,,,,,
23-Jul-20,,,,,,,,,,,,,,,,,,,
6059,11|13|16|17|20,4,X,X,,,,,,,,,,,,,,,
24-Jul-20,,,,,,,,,,,,,,,,,,,
6060,1|2|4|14|19,1,X,X,,,,,,,,,,,,,,,
25-Jul-20,,,,,,,,,,,,,,,,,,,
6061,5|8|11|19|20,3,X,X,,,,,,,,,,,,,,,
27-Jul-20,,,,,,,,,,,,,,,,,,,
6062,2|6|8|12|18,4,X,X,,,,,,,,,,,,,,,
28-Jul-20,,,,,,,,,,,,,,,,,,,
6063,3|4|6|8|15,3,X,X,,,,,,,,,,,,,,,
(adsbygoogle = window.adsbygoogle || []).push({});,,,,,,,,,,,,,,,,,,,
29-Jul-20,,,,,,,,,,,,,,,,,,,
6064,2|8|10|19|20,4,X,X,,,,,,,,,,,,,,,
30-Jul-20,,,,,,,,,,,,,,,,,,,
6065,2|5|11|12|15,2,X,X,,,,,,,,,,,,,,,
31-Jul-20,,,,,,,,,,,,,,,,,,,
6066,1|2|5|6|14,1,X,X,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
01-Aug-20,,,,,,,,,,,,,,,,,,,
6067,3|6|10|15|17,3,X,X,,,,,,,,,,,,,,,
03-Aug-20,,,,,,,,,,,,,,,,,,,
6068,3|6|15|17|20,2,X,X,,,,,,,,,,,,,,,
04-Aug-20,,,,,,,,,,,,,,,,,,,
6069,2|9|14|15|20,1,X,X,,,,,,,,,,,,,,,
05-Aug-20,,,,,,,,,,,,,,,,,,,
6070,7|8|11|15|17,1,X,X,,,,,,,,,,,,,,,
06-Aug-20,,,,,,,,,,,,,,,,,,,
6071,4|11|12|13|19,3,X,X,,,,,,,,,,,,,,,
07-Aug-20,,,,,,,,,,,,,,,,,,,
6072,10|11|13|15|20,1,X,X,,,,,,,,,,,,,,,
08-Aug-20,,,,,,,,,,,,,,,,,,,
6073,5|9|17|18|20,4,X,X,,,,,,,,,,,,,,,
10-Aug-20,,,,,,,,,,,,,,,,,,,
6074,4|6|10|12|20,3,X,X,,,,,,,,,,,,,,,
11-Aug-20,,,,,,,,,,,,,,,,,,,
6075,3|8|10|15|20,1,X,X,,,,,,,,,,,,,,,
12-Aug-20,,,,,,,,,,,,,,,,,,,
6076,10|12|14|17|18,2,X,X,,,,,,,,,,,,,,,
13-Aug-20,,,,,,,,,,,,,,,,,,,
6077,3|6|8|9|10,2,X,X,,,,,,,,,,,,,,,
14-Aug-20,,,,,,,,,,,,,,,,,,,
6078,6|10|12|13|16,1,X,X,,,,,,,,,,,,,,,
(adsbygoogle = window.adsbygoogle || []).push({});,,,,,,,,,,,,,,,,,,,
15-Aug-20,,,,,,,,,,,,,,,,,,,
6079,2|4|11|12|16,3,X,X,,,,,,,,,,,,,,,
17-Aug-20,,,,,,,,,,,,,,,,,,,
6080,4|6|10|13|15,2,X,X,,,,,,,,,,,,,,,
18-Aug-20,,,,,,,,,,,,,,,,,,,
6081,2|5|9|15|16,1,X,X,,,,,,,,,,,,,,,
19-Aug-20,,,,,,,,,,,,,,,,,,,
6082,4|7|9|11|15,3,X,X,,,,,,,,,,,,,,,
20-Aug-20,,,,,,,,,,,,,,,,,,,
6083,1|12|14|18|20,4,X,X,,,,,,,,,,,,,,,
21-Aug-20,,,,,,,,,,,,,,,,,,,
6084,3|10|11|15|17,3,X,X,,,,,,,,,,,,,,,
22-Aug-20,,,,,,,,,,,,,,,,,,,
6085,2|3|9|18|19,4,X,X,,,,,,,,,,,,,,,
24-Aug-20,,,,,,,,,,,,,,,,,,,
6086,3|6|7|8|11,4,X,X,,,,,,,,,,,,,,,
25-Aug-20,,,,,,,,,,,,,,,,,,,
6087,1|6|12|17|19,4,X,X,,,,,,,,,,,,,,,
